County,pol1,Population Estimate 2017,pol2,pol3,pol4,pol5,pol6,pol7,pol8,pol9,pol9a,pol11,pol12,ppol11,ppol12,ppol13,ppol14,ppol15,ppol15a,ppol21,ppol22,ppol23,ppol24,ppol25,ppol25a,ppol31,ppol32,ppol33,ppol34,ppol35,ppol35a,ppol41,ppol42,ppol43,ppol44,ppol45,ppol45a
Imperial ,Holtville,"6,597",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Imperial ,Imperial,"17,550",1,0,2018-50,,2,9/18/2018,9/18/2018,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Imperial ,Westmorland,"2,284",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Inyo,Bishop,"3,760",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Kern,Arvin,"21,270",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Kern,Bakersfield,"380,874",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Kern,California City,"13,972",1,0,4/18/2730,,2,4/11/2018,4/11/2018,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Kern,Delano,"53,138",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Kern,Maricopa,"1,197",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Kern,McFarland,"15,093",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Kern,Ridgecrest,"28,880",1,0,,,2,5/16/2018,5/16/2018,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Kern,Shafter,"19,608",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Kern,Taft,"9,425",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Kern,Tehachapi,"12,630",1,0,32-18,,2,6/4/2018,6/4/2018,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Kern,Wasco,"26,994",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Kings,Avenal,"12,440",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Kings,Corcoran,"21,835",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Kings,Hanford,"56,499",1,0,18-19-R,,2,5/18/2018,5/18/2018,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Kings,Lemoore,"26,355",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Lake,Clearlake,"15,066",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Lake,Lakeport,"4,762",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Lassen,Susanville,"15,326",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Agoura Hills,"20,692",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Alhambra,"85,396",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Arcadia,"58,799",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Artesia,"16,904",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Avalon,"3,764",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Azusa,"49,864",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Baldwin Park,"76,402",1,1,2017-171,,2,2/15/2017,2/15/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Bell,"35,811",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Bellflower,"77,772",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Bell Gardens,"42,747",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Beverly Hills,"34,484",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Bradbury,"1,093",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Burbank,"104,834",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Calabasas,"24,202",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
