County,pol1,Population Estimate 2017,pol2,pol3,pol4,pol5,pol6,pol7,pol8,pol9,pol9a,pol11,pol12,ppol11,ppol12,ppol13,ppol14,ppol15,ppol15a,ppol21,ppol22,ppol23,ppol24,ppol25,ppol25a,ppol31,ppol32,ppol33,ppol34,ppol35,ppol35a,ppol41,ppol42,ppol43,ppol44,ppol45,ppol45a
Sonoma,Sonoma,"11,108",1,1,16-2017,,2,4/17/2017,4/17/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,Windsor,"27,548",1,1,3346-17,,2,3/1/2017,3/1/2017,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,Ceres,"48,697",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,Hughson,"7,498",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,Modesto,"214,221",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,Newman,"11,361",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,Oakdale,"23,150",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,Patterson,"22,124",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,Riverbank,"24,740",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,Turlock,"73,556",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,Waterford,"8,947",1,0,2018-29,,2,4/19/2018,4/19/2018,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Sutter,Live Oak,"8,774",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Sutter,Yuba City,"66,860",1,0,18-031,,2,5/1/2018,5/1/2018,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Tehama,Corning,"7,592",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Tehama,Red Bluff,"14,287",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Tehama,Tehama,422,0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Tulare,Dinuba,"24,034",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Tulare,Exeter,"10,553",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Tulare,Farmersville,"10,778",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Tulare,Lindsay,"13,303",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Tulare,Porterville,"59,145",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Tulare,Tulare,"63,855",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Tulare,Visalia,"133,010",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Tulare,Woodlake,"7,649",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,Sonora,"4,857",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Ventura,Camarillo,"67,845",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Ventura,Fillmore,"15,812",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Ventura,Moorpark,"36,802",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Ventura,Ojai,"7,582",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Ventura,Oxnard,"210,037",1,1,15045,,2,7/25/2017,7/25/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Ventura,Port Hueneme,"22,327",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Ventura,Santa Paula,"30,313",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Ventura,Simi Valley,"126,878",0,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Ventura,Thousand Oaks,"128,995",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Ventura,Ventura,"110,790",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Yolo,Davis,"68,986",1,1,14-153,,2,11/5/2014,11/5/2014,1,,,,1,1,10/16/2007,10/16/2007,1,,1,1,3/5/1986,3/5/1986,1,,,,,,,,,,,,,
Yolo,West Sacramento,"53,512",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Yolo,Winters,"7,273",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Yolo,Woodland,"60,012",1,1,6943,,2,10/3/2017,10/3/2017,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Yuba,Marysville,"12,413",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Yuba,Wheatland,"3,842",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
