,GEO.display-label,2010,2011,2012,2013,2014,2015,2016,2017
120,"Blackhawk CDP, California",1.6,1.6,1.9,2.9,2.2,2.7,4.7,4
121,"Blacklake CDP, California",2.3,3.6,3,3.1,0,0,0,0
122,"Black Point-Green Point CDP, California",2.9,3.4,2,1.7,1.7,3.8,2.5,2.3
123,"Blairsden CDP, California",0,0,0,30.8,54.3,27.3,29.4,41.7
124,"Bloomfield CDP, California",17.6,1.6,2,1.2,4.3,8.3,8.6,8.6
125,"Bloomington CDP, California",22.7,22.4,22.2,20.4,21.7,22,18.2,18.3
126,"Blue Lake city, California",14.5,13.2,13.8,18.5,20,18.4,19.9,21.4
127,"Bluewater CDP, California",8,5.3,4.1,0,0,2.8,7.1,9
128,"Blythe city, California",16.8,15.1,16.1,19.2,23.2,24.4,23.7,26.2
129,"Bodega CDP, California",0,21.2,33,24.6,35.3,27.8,14.2,14.8
130,"Bodega Bay CDP, California",7.3,3.7,4.3,6,5.5,9,5.7,5.5
131,"Bodfish CDP, California",14.6,16.6,17.5,25.1,27.6,28.2,23.1,23
132,"Bolinas CDP, California",16.7,24,26.7,18.6,16.5,16.9,13.9,18
133,"Bombay Beach CDP, California",30.7,52.5,55.9,54,40.9,35.2,18,21.4
134,"Bonadelle Ranchos-Madera Ranchos CDP, California",4.5,4.2,6.5,9.4,12,12.4,13.2,10.4
135,"Bonita CDP, California",6.4,6.6,7.7,11.4,13.9,12,9.9,9.6
136,"Bonny Doon CDP, California",8,8,14.9,13.6,11.4,12,12.6,10.9
137,"Bonsall CDP, California",9.4,8.9,7.4,6.1,7.7,5.7,4.5,5.5
138,"Boonville CDP, California",23.4,22.3,23.8,25.7,22.6,20.8,20,14.2
139,"Bootjack CDP, California",6.9,10.4,11.3,6.4,7.6,7.7,16.2,23.9
140,"Boron CDP, California",23.2,22.2,29.7,30,37.3,33.4,38.3,37.8
141,"Boronda CDP, California",16.3,23.8,30.1,31.5,21.4,20.6,18.3,23.6
142,"Borrego Springs CDP, California",12.3,17.8,16,15.5,12.9,15,11.5,13.9
143,"Bostonia CDP, California",14.9,18.3,19,20.9,21.4,20.1,19,16.9
144,"Boulder Creek CDP, California",8.3,6.1,9.5,10.1,10.8,10.9,11.3,11.1
145,"Boulevard CDP, California",100,100,9.6,10,24,17.1,20.8,47.2
146,"Bowles CDP, California",0,0,0,0,18.1,15.9,28.8,35.9
147,"Boyes Hot Springs CDP, California",20,22.8,20.1,12.9,16.3,13.2,7.5,8.6
148,"Bradbury city, California",5,5.2,9.2,9.6,10.1,8.8,9.2,8.1
149,"Bradley CDP, California",0,2.7,10.9,12.7,21.3,21.6,20.1,10.7
150,"Brawley city, California",24.7,26.2,24.6,24.1,23.7,25.2,28.5,28.1
151,"Brea city, California",5.7,5.1,5.6,6.6,7.1,7.1,7.2,7.3
152,"Brentwood city, California",5.4,6.1,6.2,5.7,6.3,7.3,7.4,7.7
153,"Bret Harte CDP, California",32.2,31.9,31.3,34.3,38.1,45,40.2,37.8
154,"Bridgeport CDP, California",11.4,13.1,10.9,4,10,0.1,0.1,0.2
155,"Brisbane city, California",6.1,3.5,3.5,3.6,3.7,4.8,4.5,4.2
156,"Broadmoor CDP, California",15.6,14.5,8.7,10.6,5.8,4.4,4.1,3.4
157,"Brookdale CDP, California",3.8,6.3,8.2,9.1,14,11.4,16.2,17.2
158,"Brooktrails CDP, California",11.6,13.6,10.1,8.2,16.5,17.2,16,15.8
159,"Buckhorn CDP, California",9.7,6.2,9.3,11.8,13.7,16.4,17.9,19.1
160,"Buck Meadows CDP, California",-,0,0,0,46,38.5,53.8,43.1
161,"Bucks Lake CDP, California",0,0,-,-,0,0,0,0
162,"Buellton city, California",7.3,6.6,6.8,9.8,10,5.6,5,5.5
