County,pol1,pol2
Santa Clara,Campbell,0
Santa Clara,Cupertino,1
Santa Clara,Gilroy,1
Santa Clara,Los Altos,0
Santa Clara,Los Altos Hills,0
Santa Clara,Los Gatos,0
Santa Clara,Milpitas,0
Santa Clara,Monte Sereno,0
Santa Clara,Morgan Hill,0
Santa Clara,Mountain View,1
Santa Clara,Palo Alto,1
Santa Clara,San Jose,1
Santa Clara,Santa Clara,1
Santa Clara,Saratoga,0
Santa Clara,Sunnyvale,0
Santa Cruz,Capitola,0
Santa Cruz,Santa Cruz,1
Santa Cruz,Scotts Valley,0
Santa Cruz,Watsonville,1
Shasta,Anderson,1
Shasta,Redding,0
Shasta,Shasta Lake,0
Sierra,Loyalton,0
Siskiyou,Dorris,0
Siskiyou,Dunsmuir,0
Siskiyou,Etna,0
Siskiyou,Fort Jones,0
Siskiyou,Montague,0
Siskiyou,Mount Shasta,0
Siskiyou,Tulelake,0
Siskiyou,Weed,0
Siskiyou,Yreka,0
Solano,Benicia,1
Solano,Dixon,1
Solano,Fairfield,0
Solano,Rio Vista,0
Solano,Suisun City,0
Solano,Vacaville,0
Solano,Vallejo,1
Sonoma,Cloverdale,0
Sonoma,Cotati,0
Sonoma,Healdsburg,1
Sonoma,Petaluma,1
Sonoma,Rohnert Park,0
Sonoma,Santa Rosa,1
Sonoma,Sebastopol,1
Sonoma,Sonoma,1
Sonoma,Windsor,1
Stanislaus,Ceres,0
Stanislaus,Hughson,0
Stanislaus,Modesto,0
Stanislaus,Newman,0
Stanislaus,Oakdale,0
Stanislaus,Patterson,0
Stanislaus,Riverbank,0
Stanislaus,Turlock,0
Stanislaus,Waterford,1
Sutter,Live Oak,0
Sutter,Yuba City,1
Tehama,Corning,0
Tehama,Red Bluff,0
Tehama,Tehama,0
Tulare,Dinuba,0
Tulare,Exeter,0
Tulare,Farmersville,0
Tulare,Lindsay,0
Tulare,Porterville,0
Tulare,Tulare,0
Tulare,Visalia,0
Tulare,Woodlake,0
Tuolumne,Sonora,0
Ventura,Camarillo,0
Ventura,Fillmore,0
Ventura,Moorpark,0
Ventura,Ojai,0
Ventura,Oxnard,1
Ventura,Port Hueneme,0
Ventura,Santa Paula,0
Ventura,Simi Valley,0
Ventura,Thousand Oaks,0
Ventura,Ventura,0
Yolo,Davis,1
Yolo,West Sacramento,0
Yolo,Winters,0
Yolo,Woodland,1
Yuba,Marysville,0
Yuba,Wheatland,0
